run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,success,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,0,has_close_elements,1,0.5,0.5,0.0,5.928,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,1,separate_paren_groups,0,0.5,0.8,-0.3,9.69,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,2,truncate_number,1,0.0,1.0,-1.0,1.778,0,0
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,3,below_zero,0,0.5,0.0,0.5,3.169,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,4,mean_absolute_deviation,1,0.5,1.0,-0.5,3.753,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,5,intersperse,0,0.5,0.5,0.0,5.291,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,6,parse_nested_parens,0,0.5,0.0,0.5,5.383,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,7,filter_by_substring,1,0.5,0.5,0.0,5.041,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,8,sum_product,0,0.5,0.0,0.5,4.315,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,9,rolling_max,1,0.2,0.0,0.2,2.779,0,0
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,10,make_palindrome,0,0.5,0.5,0.0,5.433,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,11,string_xor,1,0.5,0.5,0.0,3.751,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,12,longest,0,0.5,0.5,0.0,3.026,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,13,greatest_common_divisor,1,0.25,0.0,0.25,2.334,0,0
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,14,all_prefixes,1,0.2,0.0,0.2,2.218,0,0
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,15,string_sequence,1,0.5,0.0,0.5,3.117,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,16,count_distinct_characters,0,0.5,0.0,0.5,2.708,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,17,parse_music,0,0.2,0.0,0.2,3.132,0,0
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,18,how_many_times,0,0.5,0.0,0.5,4.285,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,19,sort_numbers,0,0.5,0.0,0.5,5.913,1,1
20260308_194315,mon-t0.0-th0.4,with_monitoring,0.0,0.4,20,find_closest_elements,1,0.5,1.0,-0.5,6.781,1,1
