run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,success,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,0,has_close_elements,1,0.5,0.0,0.5,2.824,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,1,separate_paren_groups,0,0.5,0.0,0.5,3.247,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,2,truncate_number,1,0.0,1.0,-1.0,1.786,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,3,below_zero,1,0.5,0.0,0.5,2.481,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,4,mean_absolute_deviation,1,0.5,0.0,0.5,2.327,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,5,intersperse,1,0.5,0.0,0.5,2.937,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,6,parse_nested_parens,0,0.5,0.0,0.5,3.319,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,7,filter_by_substring,1,0.5,0.0,0.5,2.178,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,8,sum_product,1,0.5,0.0,0.5,2.768,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,9,rolling_max,1,0.2,0.0,0.2,2.765,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,10,make_palindrome,1,0.5,0.0,0.5,3.604,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,11,string_xor,1,0.5,0.0,0.5,2.192,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,12,longest,0,0.5,0.0,0.5,2.038,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,13,greatest_common_divisor,1,0.25,0.0,0.25,2.343,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,14,all_prefixes,1,0.2,0.0,0.2,2.267,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,15,string_sequence,1,0.5,0.0,0.5,1.956,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,16,count_distinct_characters,1,0.5,0.0,0.5,2.021,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,17,parse_music,0,0.2,0.0,0.2,3.187,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,18,how_many_times,1,0.5,0.0,0.5,2.781,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,19,sort_numbers,1,0.5,0.0,0.5,3.591,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,20,find_closest_elements,1,0.5,0.0,0.5,4.071,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,21,rescale_to_unit,1,0.25,0.0,0.25,2.669,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,22,filter_integers,1,0.5,0.0,0.5,2.157,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,23,strlen,1,0.0,0.0,0.0,1.593,0,0
20260308_193904,mon-t0.0-th0.6,with_monitoring,0.0,0.6,24,largest_divisor,0,0.5,0.0,0.5,2.267,0,0
