run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,success,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,0,has_close_elements,1,0.5,0.0,0.5,5.164,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,1,separate_paren_groups,0,0.4,0.0,0.4,3.702,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,2,truncate_number,1,0.5,1.0,-0.5,1.635,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,3,below_zero,1,0.0,1.0,-1.0,2.249,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,4,mean_absolute_deviation,1,0.0,0.0,0.0,1.989,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,5,intersperse,1,0.6,0.0,0.6,2.955,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,6,parse_nested_parens,0,0.75,0.0,0.75,8.326,1,1
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,7,filter_by_substring,1,0.4,0.0,0.4,2.524,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,8,sum_product,1,0.5,0.0,0.5,3.116,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,9,rolling_max,1,0.0,0.0,0.0,2.181,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,10,make_palindrome,0,0.2,0.9,-0.7,5.008,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,11,string_xor,0,0.75,1.0,-0.25,3.173,1,1
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,12,longest,0,0.2,0.0,0.2,1.977,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,13,greatest_common_divisor,1,0.2,0.0,0.2,2.314,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,14,all_prefixes,1,0.75,1.0,-0.25,3.439,1,1
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,15,string_sequence,1,0.5,0.0,0.5,1.908,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,16,count_distinct_characters,1,0.25,1.0,-0.75,3.282,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,17,parse_music,0,0.8,0.0,0.8,7.008,1,1
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,18,how_many_times,1,0.0,0.0,0.0,2.657,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,19,sort_numbers,1,0.0,1.0,-1.0,3.344,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,20,find_closest_elements,1,0.0,0.0,0.0,3.614,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,21,rescale_to_unit,1,0.2,0.0,0.2,2.638,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,22,filter_integers,1,0.0,0.0,0.0,1.917,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,23,strlen,1,1.0,0.0,1.0,2.111,1,1
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,24,largest_divisor,0,0.5,1.0,-0.5,2.398,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,25,factorize,1,0.5,0.0,0.5,3.127,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,26,remove_duplicates,0,0.5,1.0,-0.5,2.315,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,27,flip_case,1,0.5,0.0,0.5,1.796,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,28,concatenate,1,0.2,0.0,0.2,1.586,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,29,filter_by_prefix,1,0.5,0.0,0.5,2.317,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,30,get_positive,1,0.0,0.0,0.0,1.472,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,31,is_prime,1,0.0,1.0,-1.0,3.394,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,32,find_zero,0,0.5,1.0,-0.5,2.281,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,33,sort_third,0,0.5,0.0,0.5,2.351,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,34,unique,1,0.5,0.0,0.5,1.518,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,35,max_element,1,0.0,0.0,0.0,1.672,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,36,fizz_buzz,0,0.0,0.0,0.0,2.32,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,37,sort_even,0,0.5,0.0,0.5,1.901,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,38,decode_cyclic,0,0.75,0.0,0.75,4.351,1,1
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,39,prime_fib,0,0.0,0.0,0.0,3.533,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,40,triples_sum_to_zero,0,0.0,0.0,0.0,2.828,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,41,car_race_collision,0,0.0,0.0,0.0,1.857,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,42,incr_list,1,0.5,0.0,0.5,1.624,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,43,pairs_sum_to_zero,1,0.7,0.0,0.7,3.197,1,1
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,44,change_base,1,0.3,1.0,-0.7,3.009,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,45,triangle_area,1,0.5,0.0,0.5,1.913,0,0
20260308_224205,mon-t0.7-th0.6,with_monitoring,0.7,0.6,46,fib4,1,0.0,1.0,-1.0,4.011,0,0
