run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache,use_gate,use_fixer_context
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,42,incr_list,1,1,0.9,0.0,0.9,3.573,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,43,pairs_sum_to_zero,1,1,0.9,0.6,0.3,7.993,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,44,change_base,1,1,0.9,0.0,0.9,7.459,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,45,triangle_area,1,1,0.0,0.0,0.0,1.822,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,46,fib4,0,0,0.6,0.6,0.0,4.188,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,47,median,1,1,0.7,0.3,0.4,10.824,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,48,is_palindrome,1,1,0.9,0.2,0.7,3.687,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,49,modp,1,1,0.9,0.6,0.3,7.113,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,50,decode_shift,1,1,0.9,0.6,0.3,11.041,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,51,remove_vowels,1,1,0.9,0.0,0.9,4.842,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,52,below_threshold,0,0,0.9,0.0,0.9,4.225,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,53,add,1,1,0.9,0.0,0.9,3.649,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,54,same_chars,0,0,0.9,0.7,0.2,7.565,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,55,fib,0,0,0.9,0.9,0.0,4.848,1,0,1,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,56,correct_bracketing,1,1,0.9,0.0,0.9,5.384,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,57,monotonic,1,1,0.9,0.7,0.2,14.612,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,58,common,1,1,0.6,0.6,0.0,3.92,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,59,largest_prime_factor,1,1,0.6,0.6,0.0,4.462,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,60,sum_to_n,1,1,0.9,0.6,0.3,6.337,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,61,correct_bracketing,1,1,0.9,0.0,0.9,5.367,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,62,derivative,0,0,0.9,0.7,0.2,9.339,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,63,fibfib,0,0,0.9,0.8,0.1,10.683,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,64,vowels_count,0,0,0.0,0.0,0.0,1.948,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,65,circular_shift,0,0,0.9,0.6,0.3,7.379,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,66,digitSum,0,0,0.7,0.3,0.4,9.279,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,67,fruit_distribution,0,0,0.6,0.6,0.0,3.301,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,68,pluck,1,1,0.9,0.6,0.3,8.409,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,69,search,0,0,0.9,0.6,0.3,7.228,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,70,strange_sort_list,0,0,0.9,0.7,0.2,10.327,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,71,triangle_area,1,1,0.9,0.7,0.2,12.279,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,72,will_it_fly,1,1,0.6,0.6,0.0,4.054,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,73,smallest_change,0,0,0.9,0.7,0.2,20.179,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,74,total_match,0,0,0.9,0.6,0.3,7.502,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,75,is_multiply_prime,0,0,0.6,0.6,0.0,3.514,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,76,is_simple_power,0,0,0.9,0.8,0.1,9.642,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,77,iscube,0,0,0.7,0.6,0.1,10.002,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,78,hex_key,1,1,0.9,0.0,0.9,9.717,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,79,decimal_to_binary,1,1,0.7,0.7,0.0,8.969,1,0,1,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,80,is_happy,0,0,0.7,0.7,0.0,13.631,1,0,1,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,81,numerical_letter_grade,0,0,0.2,0.2,0.0,2.65,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,82,prime_length,1,1,0.6,0.6,0.0,3.927,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,83,starts_one_ends,1,1,0.9,0.6,0.3,7.573,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,84,solve,0,0,0.0,0.0,0.0,1.848,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,85,add,0,0,0.9,0.6,0.3,4.836,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,86,anti_shuffle,0,0,0.9,0.9,0.0,8.216,1,0,1,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,87,get_row,0,0,0.9,0.9,0.0,5.631,1,0,1,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,88,sort_array,1,1,0.9,0.6,0.3,7.505,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,89,encrypt,0,0,0.0,0.0,0.0,2.531,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,90,next_smallest,0,0,0.7,0.6,0.1,9.643,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,91,is_bored,0,0,0.6,0.6,0.0,3.204,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,92,any_int,0,0,0.7,0.6,0.1,10.063,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,93,encode,0,0,0.7,0.7,0.0,19.86,1,0,1,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,94,skjkasdkd,0,0,0.9,0.8,0.1,12.101,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,95,check_dict_case,0,0,0.6,0.6,0.0,3.37,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,96,count_up_to,0,0,0.9,0.7,0.2,11.344,1,1,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,97,multiply,1,1,0.7,0.7,0.0,10.016,1,0,1,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,98,count_upper,0,0,0.0,0.0,0.0,3.99,0,0,0,1,1,0
20260524_235100,p8_ablate_no_context,with_monitoring,0.0,0.6,99,closest_integer,0,0,0.6,0.6,0.0,3.756,0,0,0,1,1,0
