run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,success,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,0,has_close_elements,1,0.6,0.5,0.1,19.822,1,1,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,1,separate_paren_groups,1,0.8,0.6,0.2,16.522,1,1,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,2,truncate_number,1,0.5,0.5,0.0,3.799,0,0,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,3,below_zero,0,0.6,0.5,0.1,16.2,1,1,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,4,mean_absolute_deviation,1,0.8,0.6,0.2,14.989,1,1,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,5,intersperse,1,0.6,0.6,0.0,14.893,1,0,1
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,6,parse_nested_parens,1,0.8,0.8,0.0,14.138,1,0,1
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,7,filter_by_substring,1,0.6,0.5,0.1,15.705,1,1,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,8,sum_product,1,0.5,0.5,0.0,4.4,0,0,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,9,rolling_max,1,0.5,0.5,0.0,4.884,0,0,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,10,make_palindrome,0,0.5,0.5,0.0,6.885,0,0,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,11,string_xor,1,0.6,0.6,0.0,13.739,1,0,1
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,12,longest,1,0.7,0.5,0.2,12.517,1,1,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,13,greatest_common_divisor,1,0.5,0.5,0.0,4.033,0,0,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,14,all_prefixes,1,0.6,0.6,0.0,11.184,1,0,1
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,15,string_sequence,1,0.5,0.5,0.0,4.423,0,0,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,16,count_distinct_characters,1,0.5,0.5,0.0,4.269,0,0,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,17,parse_music,0,0.6,0.5,0.1,16.714,1,1,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,18,how_many_times,1,0.8,0.8,0.0,10.494,1,0,1
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,19,sort_numbers,0,0.8,0.6,0.2,19.321,1,1,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,20,find_closest_elements,1,0.8,0.8,0.0,19.503,1,0,1
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,21,rescale_to_unit,1,0.6,0.6,0.0,17.007,1,0,1
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,22,filter_integers,1,0.5,0.5,0.0,3.862,0,0,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,23,strlen,1,0.5,0.5,0.0,3.43,0,0,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,24,largest_divisor,1,0.6,0.6,0.0,10.548,1,0,1
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,25,factorize,1,0.6,0.6,0.0,17.88,1,0,1
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,26,remove_duplicates,0,0.8,0.5,0.3,9.048,1,1,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,27,flip_case,1,0.2,0.2,0.0,3.884,0,0,0
20260404_145214,phase3-mon-t0.7-th0.5-r1,with_monitoring,0.7,0.5,28,concatenate,1,0.6,0.2,0.4,8.039,1,1,0
