run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache,use_gate,use_fixer_context
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,44,change_base,1,1,0.9,0.8,0.1,7.555,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,45,triangle_area,1,1,0.0,0.0,0.0,1.859,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,46,fib4,0,0,0.6,0.6,0.0,4.22,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,47,median,1,1,0.7,0.7,0.0,13.116,1,0,1,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,48,is_palindrome,1,1,0.9,0.6,0.3,9.089,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,49,modp,1,1,0.9,0.0,0.9,8.061,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,50,decode_shift,0,0,0.9,0.7,0.2,8.913,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,51,remove_vowels,1,1,0.9,0.6,0.3,12.321,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,52,below_threshold,0,0,0.9,0.0,0.9,7.237,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,53,add,1,1,0.9,0.0,0.9,5.525,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,54,same_chars,0,0,0.9,0.7,0.2,8.198,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,55,fib,1,1,0.9,0.8,0.1,8.752,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,56,correct_bracketing,1,1,0.9,0.0,0.9,8.246,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,57,monotonic,1,1,0.9,0.7,0.2,11.26,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,58,common,1,1,0.6,0.6,0.0,3.909,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,59,largest_prime_factor,1,1,0.6,0.6,0.0,4.394,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,60,sum_to_n,1,1,0.9,0.6,0.3,6.873,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,61,correct_bracketing,1,1,0.9,0.0,0.9,8.164,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,62,derivative,0,0,0.9,0.7,0.2,13.424,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,63,fibfib,0,0,0.9,0.6,0.3,18.318,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,64,vowels_count,0,0,0.0,0.0,0.0,1.92,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,65,circular_shift,0,0,0.9,0.0,0.9,7.879,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,66,digitSum,0,0,0.7,0.0,0.7,11.981,1,1,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,67,fruit_distribution,0,0,0.6,0.6,0.0,3.228,0,0,0,1,1,1
20260524_232211,p8_all_on,with_monitoring,0.0,0.6,68,pluck,0,0,0.9,0.0,0.9,20.376,1,1,0,1,1,1
