run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,pass_at_1,pass_at_2,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted,from_planner_cache,use_gate,use_fixer_context
20260524_231955,p8_baseline,baseline,0.0,0.6,0,has_close_elements,0,0,,0.9,0.0,0.002,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,1,separate_paren_groups,0,0,,0.9,0.0,0.001,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,2,truncate_number,1,1,,0.8,0.0,9.44,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,3,below_zero,1,1,,0.9,0.0,1.923,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,4,mean_absolute_deviation,0,0,,0.9,0.0,0.002,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,5,intersperse,0,0,,0.9,0.0,0.001,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,6,parse_nested_parens,0,0,,0.9,0.0,0.001,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,7,filter_by_substring,0,0,,0.9,0.0,0.001,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,8,sum_product,1,1,,0.0,0.0,1.465,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,9,rolling_max,1,1,,0.7,0.0,3.235,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,10,make_palindrome,0,0,,0.9,0.0,0.002,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,11,string_xor,0,0,,0.9,0.0,0.001,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,12,longest,1,1,,0.7,0.0,2.172,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,13,greatest_common_divisor,0,0,,0.9,0.0,0.002,0,0,0,1,1,1
20260524_231955,p8_baseline,baseline,0.0,0.6,14,all_prefixes,0,0,,0.9,0.0,0.002,0,0,0,1,1,1
