run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,success,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,0,has_close_elements,1,,0.8,0.0,20.382,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,1,separate_paren_groups,0,,0.8,0.0,4.118,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,2,truncate_number,1,,0.5,0.0,2.287,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,3,below_zero,1,,0.6,0.0,3.141,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,4,mean_absolute_deviation,1,,0.8,0.0,2.829,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,5,intersperse,1,,0.6,0.0,3.805,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,6,parse_nested_parens,0,,0.6,0.0,3.994,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,7,filter_by_substring,1,,0.6,0.0,3.081,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,8,sum_product,1,,0.5,0.0,3.034,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,9,rolling_max,1,,0.5,0.0,3.327,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,10,make_palindrome,1,,0.8,0.0,3.666,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,11,string_xor,1,,0.6,0.0,2.597,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,12,longest,0,,0.7,0.0,2.487,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,13,greatest_common_divisor,1,,0.5,0.0,2.768,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,14,all_prefixes,1,,0.8,0.0,3.249,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,15,string_sequence,1,,0.5,0.0,2.776,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,16,count_distinct_characters,1,,0.2,0.0,2.244,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,17,parse_music,0,,0.7,0.0,3.29,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,18,how_many_times,1,,0.6,0.0,3.06,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,19,sort_numbers,1,,0.8,0.0,3.883,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,20,find_closest_elements,1,,0.8,0.0,4.601,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,21,rescale_to_unit,1,,0.5,0.0,2.941,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,22,filter_integers,1,,0.5,0.0,2.588,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,23,strlen,1,,0.5,0.0,2.213,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,24,largest_divisor,0,,0.6,0.0,2.784,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,25,factorize,1,,0.6,0.0,3.698,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,26,remove_duplicates,0,,0.8,0.0,2.479,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,27,flip_case,1,,0.5,0.0,2.198,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,28,concatenate,1,,0.6,0.0,2.595,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,29,filter_by_prefix,1,,0.6,0.0,2.992,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,30,get_positive,1,,0.5,0.0,2.717,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,31,is_prime,1,,0.0,0.0,2.896,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,32,find_zero,0,,0.8,0.0,4.472,0,0,0
20260403_230905,phase3-baseline-t0.0-r1,baseline,0.0,0.6,33,sort_third,0,,0.7,0.0,2.413,0,0,0
