run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,success,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,0,has_close_elements,1,,0.6,0.0,3.444,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,1,separate_paren_groups,0,,0.8,0.0,4.21,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,2,truncate_number,1,,0.5,0.0,2.315,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,3,below_zero,1,,0.6,0.0,2.959,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,4,mean_absolute_deviation,1,,0.8,0.0,2.752,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,5,intersperse,1,,0.6,0.0,3.764,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,6,parse_nested_parens,0,,0.6,0.0,3.904,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,7,filter_by_substring,1,,0.6,0.0,3.041,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,8,sum_product,1,,0.6,0.0,3.055,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,9,rolling_max,1,,0.5,0.0,3.272,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,10,make_palindrome,1,,0.8,0.0,3.645,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,11,string_xor,1,,0.6,0.0,2.559,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,12,longest,1,,0.6,0.0,2.465,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,13,greatest_common_divisor,1,,0.5,0.0,2.754,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,14,all_prefixes,1,,0.8,0.0,3.133,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,15,string_sequence,1,,0.5,0.0,2.685,0,0,0
20260403_231448,phase3-baseline-t0.3-r1,baseline,0.3,0.6,16,count_distinct_characters,1,,0.2,0.0,2.212,0,0,0
