run_timestamp,run_label,version,temperature,threshold,problem_index,entry_point,success,pre_score,post_score,improvement,latency_s,fixer_triggered,fixer_changed,gate_reverted
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,0,has_close_elements,1,0.5,0.5,0.0,15.84,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,1,separate_paren_groups,0,0.8,0.8,0.0,18.071,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,2,truncate_number,1,0.5,0.5,0.0,10.608,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,3,below_zero,1,0.6,0.5,0.1,14.365,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,4,mean_absolute_deviation,1,0.8,0.2,0.6,14.248,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,5,intersperse,1,0.8,0.8,0.0,11.61,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,6,parse_nested_parens,1,0.8,0.8,0.0,16.352,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,7,filter_by_substring,1,0.6,0.5,0.1,16.097,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,8,sum_product,0,0.6,0.5,0.1,16.003,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,9,rolling_max,1,0.5,0.5,0.0,11.279,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,10,make_palindrome,0,0.8,0.7,0.1,17.44,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,11,string_xor,1,0.6,0.6,0.0,14.104,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,12,longest,1,0.7,0.5,0.2,12.861,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,13,greatest_common_divisor,1,0.5,0.5,0.0,10.042,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,14,all_prefixes,1,0.8,0.6,0.2,10.554,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,15,string_sequence,1,0.5,0.5,0.0,10.302,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,16,count_distinct_characters,1,0.2,0.2,0.0,3.647,0,0,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,17,parse_music,0,0.7,0.2,0.5,18.278,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,18,how_many_times,1,0.6,0.6,0.0,13.855,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,19,sort_numbers,1,0.8,0.6,0.2,20.474,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,20,find_closest_elements,1,0.8,0.5,0.3,22.746,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,21,rescale_to_unit,1,0.5,0.5,0.0,12.622,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,22,filter_integers,1,0.5,0.5,0.0,10.021,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,23,strlen,1,0.5,0.0,0.5,7.564,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,24,largest_divisor,0,0.6,0.6,0.0,10.508,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,25,factorize,1,0.6,0.6,0.0,16.724,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,26,remove_duplicates,0,0.8,0.5,0.3,9.0,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,27,flip_case,1,0.2,0.2,0.0,4.448,0,0,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,28,concatenate,1,0.6,0.2,0.4,8.44,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,29,filter_by_prefix,1,0.6,0.2,0.4,15.253,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,30,get_positive,1,0.5,0.5,0.0,9.582,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,31,is_prime,1,0.5,0.2,0.3,11.331,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,32,find_zero,0,0.8,0.8,0.0,20.85,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,33,sort_third,0,0.8,0.5,0.3,8.931,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,34,unique,1,0.6,0.2,0.4,8.858,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,35,max_element,1,0.5,0.0,0.5,10.303,1,1,0
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,36,fizz_buzz,0,0.8,0.8,0.0,11.417,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,37,sort_even,0,0.6,0.6,0.0,9.801,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,38,decode_cyclic,0,0.8,0.8,0.0,16.869,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,39,prime_fib,0,0.5,0.5,0.0,15.478,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,40,triples_sum_to_zero,0,0.6,0.6,0.0,17.862,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,41,car_race_collision,0,0.5,0.5,0.0,9.596,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,42,incr_list,1,0.5,0.5,0.0,8.848,1,0,1
20260404_102242,phase3-mon-t0.3-th0.4-r1,with_monitoring,0.3,0.4,43,pairs_sum_to_zero,1,0.5,0.5,0.0,15.995,1,0,1
