run_timestamp,run_label,version,temperature,retry_temperature,threshold,dataset_size,pass_at_1_rate,pass_at_1_count,pass_at_2_rate,pass_at_2_count,avg_pre_hallucination,avg_post_hallucination,avg_improvement,avg_latency_s,fixer_trigger_rate,fixer_change_rate,gate_revert_rate,use_fewshot,use_iterative
20260511_160342,codellama_p7_t1_tau60,baseline,0.3,0.3,0.6,100,0.24,24,,,0.0,0.707,0.0,4.302,0.0,0.0,0.0,0,0
20260511_160342,codellama_p7_t1_tau60,with_monitoring,0.3,0.3,0.6,100,0.52,52,,,0.707,0.39,0.317,9.827,0.77,0.63,0.14,0,0
20260511_162731,codellama_p7_t1_tau70,baseline,0.3,0.3,0.7,100,0.24,24,,,0.0,0.707,0.0,1.271,0.0,0.0,0.0,0,0
20260511_162731,codellama_p7_t1_tau70,with_monitoring,0.3,0.3,0.7,100,0.54,54,,,0.707,0.419,0.288,8.131,0.6,0.58,0.02,0,0
20260511_164326,codellama_p7_t2_tau60,baseline,0.3,0.3,0.6,100,0.25,25,,,0.0,0.72,0.0,4.005,0.0,0.0,0.0,0,0
20260511_173502,codellama_p7_t2_tau60,baseline,0.3,0.3,0.6,100,0.25,25,,,0.0,0.72,0.0,1.114,0.0,0.0,0.0,0,0
20260511_173502,codellama_p7_t2_tau60,with_monitoring,0.3,0.3,0.6,100,0.58,58,,,0.72,0.405,0.315,9.71,0.76,0.66,0.1,0,0
20260511_175340,codellama_p7_t2_tau70,baseline,0.3,0.3,0.7,100,0.25,25,,,0.0,0.72,0.0,1.129,0.0,0.0,0.0,0,0
20260511_175340,codellama_p7_t2_tau70,with_monitoring,0.3,0.3,0.7,100,0.58,58,,,0.72,0.442,0.278,8.428,0.62,0.59,0.03,0,0
20260511_181011,codellama_p7_t3_tau60,baseline,0.3,0.3,0.6,100,0.25,25,,,0.0,0.721,0.0,4.119,0.0,0.0,0.0,0,0
20260511_181011,codellama_p7_t3_tau60,with_monitoring,0.3,0.3,0.6,100,0.55,55,,,0.721,0.401,0.32,9.311,0.75,0.67,0.08,0,0
20260511_183311,codellama_p7_t3_tau70,baseline,0.3,0.3,0.7,100,0.25,25,,,0.0,0.721,0.0,1.247,0.0,0.0,0.0,0,0
20260511_183311,codellama_p7_t3_tau70,with_monitoring,0.3,0.3,0.7,100,0.55,55,,,0.721,0.439,0.282,8.225,0.61,0.59,0.02,0,0
20260511_184933,qwen_p7_t1_tau60,baseline,0.3,0.3,0.6,100,0.92,92,,,0.0,0.435,0.0,5.192,0.0,0.0,0.0,0,0
20260511_184933,qwen_p7_t1_tau60,with_monitoring,0.3,0.3,0.6,100,0.89,89,,,0.435,0.384,0.051,6.701,0.37,0.19,0.18,0,0
20260511_191000,qwen_p7_t1_tau70,baseline,0.3,0.3,0.7,100,0.92,92,,,0.0,0.435,0.0,2.237,0.0,0.0,0.0,0,0
20260511_191000,qwen_p7_t1_tau70,with_monitoring,0.3,0.3,0.7,100,0.9,90,,,0.435,0.428,0.007,3.992,0.06,0.04,0.02,0,0
20260511_192059,qwen_p7_t2_tau60,baseline,0.3,0.3,0.6,100,0.91,91,,,0.0,0.416,0.0,5.166,0.0,0.0,0.0,0,0
20260511_192059,qwen_p7_t2_tau60,with_monitoring,0.3,0.3,0.6,100,0.87,87,,,0.416,0.351,0.065,6.002,0.32,0.17,0.15,0,0
20260511_194013,qwen_p7_t2_tau70,baseline,0.3,0.3,0.7,100,0.91,91,,,0.0,0.416,0.0,2.196,0.0,0.0,0.0,0,0
20260511_194013,qwen_p7_t2_tau70,with_monitoring,0.3,0.3,0.7,100,0.89,89,,,0.416,0.406,0.01,4.215,0.08,0.05,0.03,0,0
20260511_195131,qwen_p7_t3_tau60,baseline,0.3,0.3,0.6,100,0.89,89,,,0.0,0.42,0.0,5.198,0.0,0.0,0.0,0,0
20260511_195131,qwen_p7_t3_tau60,with_monitoring,0.3,0.3,0.6,100,0.84,84,,,0.42,0.371,0.049,5.97,0.3,0.14,0.16,0,0
20260511_201044,qwen_p7_t3_tau70,baseline,0.3,0.3,0.7,100,0.89,89,,,0.0,0.42,0.0,2.192,0.0,0.0,0.0,0,0
20260511_201044,qwen_p7_t3_tau70,with_monitoring,0.3,0.3,0.7,100,0.87,87,,,0.42,0.413,0.007,3.91,0.06,0.04,0.02,0,0
